County, FIPS,Met Healthy People Objective of 15.3?,"Age-Adjusted Death Rate([rate note]) - deaths per 100,000",Race,Lower CI (Rate),Upper CI (Rate),CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Death Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Carter County,47019,No,16,All races,11,22.8,66,17,69,7,falling,-1.7,-2.9,-0.4
Hardin County,47071,Yes,15,All races,8.2,26.1,67,9,69,3,falling,-3.6,-5.4,-1.7
Greene County,47059,Yes,15,All races,10.7,20.8,68,26,69,8,falling,-1.6,-3.2,-0.1
Roane County,47145,Yes,14.6,All races,10.1,20.9,69,26,69,7,stable,-1.5,-3.2,0.1
Benton County,47005,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Bledsoe County,47007,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Cannon County,47015,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Clay County,47027,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Decatur County,47039,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Fentress County,47049,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Grainger County,47057,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Hancock County,47067,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Haywood County,47075,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Houston County,47083,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Jackson County,47087,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Johnson County,47091,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Lake County,47095,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Lewis County,47101,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Macon County,47111,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Meigs County,47121,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Moore County,47127,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Perry County,47135,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Pickett County,47137,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Polk County,47139,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Sequatchie County,47153,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Smith County,47159,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Stewart County,47161,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Trousdale County,47169,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Van Buren County,47175,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Wayne County,47181,***,,All races,*, *,* , * , *,3 or fewer,*,*,*,*
Tennessee,47000,No,20.7,White,20.1,21.4,N/A ,4,26,781,stable,-0.2,-1.1,0.8
United States (6),0,No,19.7,White,19.6,19.8,N/A , N/A , N/A,30947,falling,-1.1,-1.3,-0.8
Grundy County,47061,No,31.9,White,18.1,53.9,1,1,65,3,*,*,*,*
Scott County,47151,No,31.7,White,19.8,48.8,2,1,63,5,stable,0.8,-0.8,2.5
Weakley County,47183,No,31.6,White,21.8,45.1,3,1,56,7,stable,0.1,-1.6,1.7
Unicoi County,47171,No,31.3,White,19.1,50.3,4,1,63,5,*,*,*,*
Chester County,47023,No,29.2,White,17.2,48.1,5,1,65,4,*,*,*,*
Tipton County,47167,No,28.6,White,20.6,38.9,6,1,57,9,stable,-0.7,-2.1,0.7
Dickson County,47043,No,28,White,20.2,37.9,7,1,58,9,stable,-0.6,-2.4,1.2
Hickman County,47081,No,27.8,White,17.8,42.6,8,1,63,5,*,*,*,*
Union County,47173,No,27.8,White,17.1,44,9,1,64,4,*,*,*,*
Morgan County,47129,No,27.2,White,15.5,45.1,10,1,65,4,*,*,*,*
Carroll County,47017,No,26.4,White,16.9,40.4,11,1,64,5,stable,-1.1,-2.7,0.5
Bradley County,47011,No,26,White,20.6,32.4,12,2,51,17,falling,-1.4,-2.3,-0.4
Cheatham County,47021,No,25.9,White,17.8,37,13,1,64,7,falling,-1.9,-3.5,-0.3
Lawrence County,47099,No,24.5,White,17.3,34.1,14,1,62,8,stable,-1.4,-2.9,0.2
Coffee County,47031,No,24.2,White,17.3,33.3,15,1,63,9,falling,-1.9,-3.6,-0.2
Dyer County,47045,No,24.2,White,15.5,36.3,16,1,65,5,stable,0.1,-2.1,2.2
Lincoln County,47103,No,24,White,15.8,35.7,17,1,65,6,stable,0.1,-1.7,1.9
Cumberland County,47035,No,24,White,17.3,32.8,18,2,62,12,stable,0,-1.7,1.7
Campbell County,47013,No,23.9,White,16.3,34.3,19,1,64,7,stable,-1.4,-3,0.2
McNairy County,47109,No,23.7,White,13.7,38.7,20,1,65,4,*,*,*,*
Overton County,47133,No,23.4,White,14.4,37.4,21,1,65,4,*,*,*,*
Henderson County,47077,No,23.3,White,14.5,36.4,22,1,65,4,*,*,*,*
Sullivan County,47163,No,23.1,White,19.3,27.6,23,6,54,30,falling,-1.3,-2.1,-0.5
Warren County,47177,No,22.9,White,15.8,32.7,24,2,64,7,*,*,*,*
Claiborne County,47025,No,22.8,White,14.6,34.6,25,1,65,5,stable,-1,-3.2,1.2
Putnam County,47141,No,22.6,White,16.9,29.8,26,4,62,11,falling,-2.4,-3.5,-1.2
Rutherford County,47149,No,22.6,White,19,26.7,27,7,56,29,falling,-1.4,-2.2,-0.5
Monroe County,47123,No,22.6,White,15.3,32.4,28,2,65,7,stable,0.1,-1.6,1.7
Shelby County,47157,No,22.1,White,19.5,25,29,11,52,60,falling,-1.4,-1.9,-0.9
Anderson County,47001,No,22.1,White,16.8,28.8,30,5,62,13,stable,0.1,-1.1,1.4
Loudon County,47105,No,21.9,White,15.6,30.6,31,3,64,10,stable,-1,-2.4,0.4
White County,47185,No,21.7,White,13.2,34.4,32,1,65,4,stable,-1.8,-3.6,0
Giles County,47055,No,21.5,White,12.9,34.4,33,1,65,4,falling,-1.9,-3.5,-0.3
DeKalb County,47041,No,21.3,White,12.1,36.4,34,1,65,3,*,*,*,*
Marshall County,47117,No,21.2,White,12.9,33.3,35,1,65,4,stable,-0.6,-2.6,1.5
Hamblen County,47063,No,20.9,White,15.1,28.5,36,5,65,9,falling,-1.3,-2.6,-0.1
Davidson County,47037,No,20.9,White,18.4,23.6,37,16,55,55,falling,-1.8,-2.2,-1.3
Gibson County,47053,No,20.8,White,14.2,29.9,38,4,65,7,stable,-1,-2.7,0.6
Marion County,47115,No,20.6,White,12.3,33.1,39,1,65,4,*,*,*,*
Sevier County,47155,No,20.6,White,15.9,26.4,40,7,63,14,stable,-1.2,-2.5,0.1
Sumner County,47165,No,20.5,White,16.9,24.7,41,12,61,24,falling,-1.8,-2.7,-0.9
Hawkins County,47073,No,20.4,White,14.7,28.1,42,6,65,9,falling,-1.6,-2.9,-0.2
McMinn County,47107,No,20.3,White,13.8,29,43,4,65,7,stable,-0.8,-2.2,0.7
Williamson County,47187,No,20.2,White,16.8,24.2,44,13,61,25,falling,-1.5,-2.6,-0.4
Cocke County,47029,No,20.2,White,13.1,30.6,45,3,65,5,stable,-1.3,-3.1,0.6
Montgomery County,47125,No,19.8,White,15.2,25.4,46,9,64,13,falling,-1.4,-2.6,-0.1
Rhea County,47143,No,19.7,White,12,31.1,47,2,65,4,*,*,*,*
Bedford County,47003,No,19.7,White,12.8,29.4,48,3,65,5,stable,-1.3,-3.1,0.5
Jefferson County,47089,No,19.4,White,13.7,27.2,49,5,65,8,*,*,*,*
Blount County,47009,No,19.3,White,15.2,24.2,50,13,64,17,falling,-2.2,-3.2,-1.1
Fayette County,47047,No,19.2,White,11.3,31.4,51,2,65,4,*,*,*,*
Henry County,47079,No,19.1,White,11.9,29.9,52,3,65,5,stable,-1.8,-3.7,0.3
Washington County,47179,No,19,White,15.1,23.9,53,14,64,17,falling,-1.9,-2.7,-1.1
Robertson County,47147,No,18.9,White,13.4,26.1,54,7,65,8,stable,-1.3,-2.7,0.2
Knox County,47093,No,18.7,White,16.4,21.2,55,26,61,52,falling,-1.4,-1.9,-0.9
Wilson County,47189,No,18.7,White,14.7,23.6,56,14,64,15,falling,-2.3,-3.3,-1.3
Hamilton County,47065,No,18.7,White,16.1,21.7,57,24,62,40,falling,-2.1,-2.8,-1.4
Obion County,47131,No,16.8,White,9.4,28.4,58,4,65,4,falling,-1.5,-3,-0.1
Carter County,47019,No,16.4,White,11.3,23.4,59,14,65,7,falling,-1.6,-2.9,-0.3
Franklin County,47051,No,16.2,White,9.7,25.8,60,8,65,4,falling,-1.4,-2.7,-0.2
Madison County,47113,No,16,White,10.9,22.9,61,14,65,7,falling,-2.1,-3.4,-0.7
Hardin County,47071,No,15.9,White,8.7,27.8,62,7,65,3,falling,-3.1,-5,-1.1
Greene County,47059,No,15.5,White,11,21.6,63,23,65,8,stable,-1.6,-3.1,0
Maury County,47119,Yes,15.2,White,10.8,20.9,64,24,65,8,falling,-1.5,-2.9,-0.1
Roane County,47145,Yes,14.4,White,9.9,21,65,25,65,7,falling,-1.9,-3.4,-0.2
Benton County,47005,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Bledsoe County,47007,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Cannon County,47015,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Clay County,47027,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Crockett County,47033,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Decatur County,47039,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Fentress County,47049,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Grainger County,47057,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Hancock County,47067,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Hardeman County,47069,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Haywood County,47075,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Houston County,47083,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Humphreys County,47085,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Jackson County,47087,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Johnson County,47091,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Lake County,47095,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Lauderdale County,47097,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Lewis County,47101,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Macon County,47111,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Meigs County,47121,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Moore County,47127,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Perry County,47135,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Pickett County,47137,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Polk County,47139,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Sequatchie County,47153,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Smith County,47159,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Stewart County,47161,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Trousdale County,47169,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Van Buren County,47175,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Wayne County,47181,***,,White,*, *,* , * , *,3 or fewer,*,*,*,*
Tennessee,47000,No,29.1,Black,27.2,31.1,N/A ,1,28,180,falling,-1.3,-1.7,-1
United States,0,No,27.6,Black,27.3,27.9,N/A , N/A , N/A,6417,falling,-1.4,-1.5,-1.3
Madison County,47113,No,33.9,Black,23.3,47.6,1,1,6,7,stable,-0.1,-2,1.9
Shelby County,47157,No,32.1,Black,29.1,35.3,2,1,4,88,falling,-2.5,-4.1,-0.9
Knox County,47093,No,29.8,Black,20.2,42.4,3,1,6,6,stable,-0.6,-2,0.8
Hamilton County,47065,No,29.2,Black,22.4,37.4,4,1,6,13,falling,-1.7,-2.7,-0.7
Davidson County,47037,No,28.1,Black,23.4,33.4,5,2,6,28,falling,-1.8,-2.5,-1.1
Montgomery County,47125,No,21.4,Black,12.2,34.6,6,2,7,4,falling,-2.7,-4.8,-0.5
Rutherford County,47149,No,15.6,Black,8.4,26.3,7,5,7,3,*,*,*,*
Anderson County,47001,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Bedford County,47003,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Benton County,47005,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Bledsoe County,47007,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Blount County,47009,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Bradley County,47011,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Campbell County,47013,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Cannon County,47015,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Carroll County,47017,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Carter County,47019,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Cheatham County,47021,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Chester County,47023,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Claiborne County,47025,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Clay County,47027,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Cocke County,47029,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Coffee County,47031,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Crockett County,47033,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Cumberland County,47035,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
DeKalb County,47041,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Decatur County,47039,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Dickson County,47043,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Dyer County,47045,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Fayette County,47047,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Fentress County,47049,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Franklin County,47051,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Gibson County,47053,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Giles County,47055,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Grainger County,47057,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Greene County,47059,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
Grundy County,47061,***,,Black,*, *,* , * , *,3 or fewer,*,*,*,*
